MAE,RMSE,MAPE,Bias,cohort,model,horizon
1779.1456257744733,2267.7062566946465,18.894856304762012,-1103.6498389095418,overall_all,Operator(op_24h_latest),48
1833.6615945197304,2041.8176046891049,22.747421476167222,118.59381595389749,hotday_all,LightGBM,1
1888.925289890399,2116.415007954552,23.326824043387965,78.58697485804694,hotday_all,LightGBM,2
1872.7433000795309,2113.8810361681462,23.267178683730933,150.01679044571839,hotday_all,LightGBM,3
1828.358759553072,2071.2491310614523,22.772020018239548,132.900013804392,hotday_all,LightGBM,4
1851.6264078912054,2101.3920555382983,22.979493753269818,64.81068936370059,hotday_all,LightGBM,5
1908.0449566223394,2162.8112585191116,23.86395333990452,133.90489782943754,hotday_all,LightGBM,6
1911.6574358246562,2156.0394155781923,23.72328737333842,28.916481033892918,hotday_all,LightGBM,7
1948.1669484202694,2188.2865570451163,24.12184567758715,11.162805912065565,hotday_all,LightGBM,8
1899.6158188108357,2140.1198007149605,23.48743115538975,10.817526131649556,hotday_all,LightGBM,9
1858.8239876722316,2084.7834806000537,22.745074338843025,-136.24974489158564,hotday_all,LightGBM,10
1848.1218719427497,2083.2895708764254,22.50424327422792,-157.97732206759235,hotday_all,LightGBM,11
1806.896004031689,2048.5076569265148,21.80675914782305,-254.58515967847805,hotday_all,LightGBM,12
1764.3633667694783,1979.994632442233,20.556664882186407,-232.4925174726355,hotday_all,LightGBM,13
1771.3595533945154,1992.0242465610388,20.57558300937239,-235.22332167874058,hotday_all,LightGBM,14
1805.639736205047,2025.7957579958163,20.964853903882986,-271.14898074015764,hotday_all,LightGBM,15
1832.48387257071,2029.5772381068352,21.324065875979997,-265.883004016613,hotday_all,LightGBM,16
1872.11813229072,2053.5635736831478,21.815799433428637,-219.79611173642542,hotday_all,LightGBM,17
1928.946956581236,2097.7163695780214,22.459547159975262,-211.59481935088573,hotday_all,LightGBM,18
1965.7542412064695,2138.750512897007,22.968427891363934,-220.4179181682609,hotday_all,LightGBM,19
1977.5453206259624,2168.336976588476,23.219922580166983,-155.33199433716854,hotday_all,LightGBM,20
1916.986692751094,2149.487303330845,22.687044324140714,-84.50109332195889,hotday_all,LightGBM,21
1941.90035771208,2187.094606306711,23.033524436396416,-141.7820593758859,hotday_all,LightGBM,22
1822.9357833488896,2081.381533244278,21.763507184152445,-127.03709276424756,hotday_all,LightGBM,23
1763.3015282349536,2065.049569746277,21.22951280963165,-120.64324565721077,hotday_all,LightGBM,24
772.4423280077449,891.2311183656402,8.898621088314163,-301.4629965600896,hotday_all,LightGBM,25
772.7208932396987,897.5351285956508,8.875635866840966,-297.36948369381156,hotday_all,LightGBM,26
769.7373552572344,904.2033175834679,8.892013601347836,-305.30280021391917,hotday_all,LightGBM,27
843.6165212735424,966.7092432370725,9.79953374563614,-280.6172644235793,hotday_all,LightGBM,28
