"year","month","date","n_obv","n_hot","n_cold","min_temp","max_temp","min_actual","max_actual","mean_actual","sum_actual","min_forecast","max_forecast","mean_forecast","sum_forecast","mae","rmse","max_abs_error","mae_hot","mae_normal","mae_cold","rmse_hot","rmse_normal","rmse_cold"
"2010",2,2010-02-11,48,0,0,19.4,30.3,6962.71,12606.64,10174.005,488352.24,6964.44,12723,10202.89375,489738.9,80.14125,114.733865241843,475.450000000001,NA,80.14125,NA,NA,114.733865241843,NA
"2010",2,2010-02-12,48,5,0,21.5,36.8,7095.4,13134.81,10284.141875,493638.81,7006.36,13341.75,10317.7770833333,495253.3,138.226458333333,181.809940740553,547.719999999999,27.7279166666667,110.498541666667,NA,93.5060051324691,155.92139544094,NA
"2010",2,2010-02-13,48,0,0,21.4,26.2,6796.17,9696.85,8661.1725,415736.28,6710.78,9790.85,8671.73604166667,416243.33,70.0835416666666,87.7629531156703,256.639999999999,NA,70.0835416666666,NA,NA,87.7629531156703,NA
"2010",2,2010-02-14,45,0,0,20.4,27.3,6505.16,9719.52,8437.19888888889,379673.95,6497.36,9570.76,8363.78022222222,376370.11,137.652,160.864043990225,334.610000000001,NA,137.652,NA,NA,160.864043990225,NA
"2010",2,2010-02-15,47,0,0,20.1,32.8,6709.39,12043.83,9651.13829787234,453603.5,6593.88,11789.49,9625.26489361702,452387.45,134.495531914894,165.193898546591,491.16,NA,134.495531914894,NA,NA,165.193898546591,NA
"2010",2,2010-02-16,47,0,0,20,25.1,6658.76,10450.24,8980.24531914894,422071.53,6558.18,10672.84,9096.26021276596,427524.23,137.337446808511,161.194160669804,381.059999999999,NA,137.337446808511,NA,NA,161.194160669804,NA
"2010",2,2010-02-17,46,0,0,17.4,24.5,6462.08,10621.94,9032.61173913043,415500.14,6543.82,10591.41,9090.44108695652,418160.29,93.2497826086956,103.751299258496,229.65,NA,93.2497826086956,NA,NA,103.751299258496,NA
"2010",2,2010-02-18,45,0,0,16.6,24.2,6526.25,10150.35,8899.41222222222,400473.55,6478.2,10394.26,8914.238,401140.71,82.6973333333332,111.564982220129,344.58,NA,82.6973333333332,NA,NA,111.564982220129,NA
"2010",2,2010-02-19,47,0,0,16.8,25.2,6535.26,10138.04,8837.39234042553,415357.44,6593.34,10298.39,8878.87659574468,417307.2,74.004255319149,101.16601628543,267.18,NA,74.004255319149,NA,NA,101.16601628543,NA
"2010",2,2010-02-20,46,0,0,16.2,27.5,6509.97,9724.24,8424.85804347826,387543.47,6474.35,9650.05,8406.59152173913,386703.21,84.5408695652173,106.887270706714,233.260000000001,NA,84.5408695652173,NA,NA,106.887270706714,NA
