"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time"
2010-06-25,57,9.5,"25/6/2010 7:30",18.4,"25/6/2010 15:00"
2010-06-26,47,9.1,"26/6/2010 23:30",19,"26/6/2010 15:00"
2010-06-27,48,3.9,"27/6/2010 23:30",14.8,"27/6/2010 12:00"
2010-06-28,48,2.7,"28/6/2010 6:00",15.4,"28/6/2010 14:30"
2010-06-29,54,-0.3,"29/6/2010 6:30",13.9,"29/6/2010 15:30"
2010-06-30,49,-0.5,"30/6/2010 5:00",15.7,"30/6/2010 15:30"
2010-07-01,48,1.6,"1/7/2010 2:30",16.9,"1/7/2010 14:30"
2010-07-02,50,3.2,"2/7/2010 2:30",12.1,"2/7/2010 14:30"
2010-07-03,50,6.3,"3/7/2010 5:30",15.1,"3/7/2010 14:30"
2010-07-04,48,6.5,"4/7/2010 7:00",16.9,"4/7/2010 14:00"
2010-07-05,59,7.4,"5/7/2010 5:30",14.2,"5/7/2010 13:30"
2010-07-06,55,8.3,"6/7/2010 7:00",16.8,"6/7/2010 13:30"
2010-07-07,50,8.2,"7/7/2010 23:00",16,"7/7/2010 14:30"
2010-07-08,62,6.3,"8/7/2010 2:30",15.2,"8/7/2010 10:30"
2010-07-09,53,6.7,"9/7/2010 23:30",16.6,"9/7/2010 12:30"
2010-07-10,49,4.6,"10/7/2010 5:30",17.3,"10/7/2010 14:00"
2010-07-11,52,9.5,"11/7/2010 23:16",20,"11/7/2010 12:00"
2010-07-12,53,6.3,"12/7/2010 6:00",16.9,"12/7/2010 15:30"
2010-07-13,57,8,"13/7/2010 0:30",16.5,"13/7/2010 11:30"
2010-07-14,55,12.2,"14/7/2010 20:30",18.3,"14/7/2010 4:00"
2010-07-15,48,9.3,"15/7/2010 23:30",17,"15/7/2010 14:00"
2010-07-16,48,5.1,"16/7/2010 22:30",16.1,"16/7/2010 13:30"
2010-07-17,43,5,"17/7/2010 5:30",18.3,"17/7/2010 14:30"
2010-07-18,52,2.8,"18/7/2010 7:00",19,"18/7/2010 15:30"
2010-07-19,53,5,"19/7/2010 3:00",15.5,"19/7/2010 13:00"
2010-07-20,49,5.7,"20/7/2010 2:00",16.2,"20/7/2010 13:00"
2010-07-21,52,4,"21/7/2010 22:21",15,"21/7/2010 16:00"
2010-07-22,47,5.1,"22/7/2010 5:30",14.8,"22/7/2010 11:00"
2010-07-23,50,6.1,"23/7/2010 6:30",17.8,"23/7/2010 13:30"
2010-07-24,53,7.8,"24/7/2010 7:00",17.1,"24/7/2010 12:30"
2010-07-25,57,8.7,"25/7/2010 6:00",16.5,"25/7/2010 11:30"
2010-07-26,60,8.1,"26/7/2010 4:30",15.9,"26/7/2010 13:30"
2010-07-27,57,5.5,"27/7/2010 7:00",16.9,"27/7/2010 13:30"
2010-07-28,58,9.8,"28/7/2010 0:00",14.7,"28/7/2010 22:30"
2010-07-29,60,10.5,"29/7/2010 23:00",16.2,"29/7/2010 13:00"
2010-07-30,51,11.5,"30/7/2010 7:30",20.9,"30/7/2010 12:00"
2010-07-31,53,10.7,"31/7/2010 22:00",20.6,"31/7/2010 14:00"
2010-08-01,51,4.8,"1/8/2010 7:00",20.3,"1/8/2010 14:30"
2010-08-02,60,4.9,"2/8/2010 3:00",14.9,"2/8/2010 12:30"
2010-08-03,78,9.4,"3/8/2010 23:30",16.9,"3/8/2010 12:30"
2010-08-04,48,6.5,"4/8/2010 5:30",18.1,"4/8/2010 14:30"
2010-08-05,38,3.1,"5/8/2010 7:00",14.4,"5/8/2010 11:30"
2010-08-06,48,3.9,"6/8/2010 6:30",15.9,"6/8/2010 13:00"
2010-08-07,48,5.3,"7/8/2010 7:00",15.3,"7/8/2010 13:00"
2010-08-08,49,4,"8/8/2010 7:00",17.4,"8/8/2010 14:00"
2010-08-09,64,3.3,"9/8/2010 5:49",18.1,"9/8/2010 15:00"
2010-08-10,56,6.7,"10/8/2010 0:00",13.7,"10/8/2010 16:30"
2010-08-11,50,8.8,"11/8/2010 7:00",17.5,"11/8/2010 14:00"
2010-08-12,55,10.3,"12/8/2010 8:00",16.4,"12/8/2010 13:30"
