"full_date","n_obv","min_temp","min_temp_time","max_temp","max_temp_time","extreme_flag","extreme_type","n_low","n_high","n_low_run","n_high_run","first_low_time","last_low_time","first_high_time","last_high_time"
2014-08-01,55,7,2014-08-01 23:30:00,18.4,2014-08-01 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-08-01,53,3.5,2015-08-01 06:00:00,21.3,2015-08-01 14:30:00,TRUE,"Cold",16,0,16,0,2015-08-01 02:30:00,2015-08-01 07:30:00,NA,NA
2016-08-01,57,6.5,2016-08-01 00:30:00,17.3,2016-08-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-08-01,48,6.4,2017-08-01 07:00:00,16.7,2017-08-01 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-08-01,49,4,2018-08-01 06:30:00,20.5,2018-08-01 14:00:00,TRUE,"Cold",4,0,3,0,2018-08-01 05:30:00,2018-08-01 07:30:00,NA,NA
2019-08-01,60,7.9,2019-08-02,19.4,2019-08-01 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-08-01,63,3.9,2020-08-01 04:30:00,19.7,2020-08-01 15:30:00,TRUE,"Cold",14,0,11,0,2020-08-01 02:30:00,2020-08-01 07:00:00,NA,NA
2010-09-01,50,9.9,2010-09-01 01:30:00,25.1,2010-09-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-09-01,48,11.1,2011-09-01 06:00:00,18.2,2011-09-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-09-01,50,2.9,2012-09-01 06:30:00,15.9,2012-09-01 13:00:00,TRUE,"Cold",7,0,7,0,2012-09-01 04:00:00,2012-09-01 07:00:00,NA,NA
2013-09-01,51,8.4,2013-09-01 06:00:00,22.5,2013-09-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-09-01,57,8.2,2014-09-01 04:30:00,23.5,2014-09-01 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-09-01,50,4.2,2015-09-01 05:00:00,17.6,2015-09-01 13:30:00,TRUE,"Cold",4,0,2,0,2015-09-01 03:30:00,2015-09-01 06:00:00,NA,NA
2016-09-01,56,8.1,2016-09-01 05:00:00,22.2,2016-09-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-09-01,48,6.4,2017-09-01 23:30:00,16.7,2017-09-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-09-01,48,5.3,2018-09-01 06:00:00,21,2018-09-01 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-09-01,48,7.9,2019-09-01 04:30:00,22.9,2019-09-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-09-01,48,7.8,2020-09-01 23:30:00,17.1,2020-09-01 15:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-01-10,47,22.1,2010-01-10 02:30:00,29.5,2010-01-10 08:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-01-10,61,21.6,2011-01-10 04:00:00,25.7,2011-01-10 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-01-10,50,18.1,2012-01-10 05:30:00,28.3,2012-01-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-01-10,48,20,2013-01-10,24.7,2013-01-10 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-01-10,50,18.6,2014-01-10 05:00:00,26.5,2014-01-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-01-10,55,20.4,2015-01-10 23:30:00,28.3,2015-01-10 11:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-01-10,51,15.8,2016-01-10 05:00:00,27.1,2016-01-10 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-01-10,48,22.1,2017-01-10 02:30:00,34.1,2017-01-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-01-10,48,19.1,2018-01-10 04:00:00,23.5,2018-01-10 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-01-10,51,20.6,2019-01-10 21:30:00,22.3,2019-01-10 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-01-10,51,21.8,2020-01-10 02:30:00,30.2,2020-01-10 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2021-01-10,51,14.5,2021-01-10 05:00:00,26.9,2021-01-10 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-10-10,54,13.4,2010-10-10 05:30:00,20.2,2010-10-10 11:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-10-10,51,9.9,2011-10-10 03:30:00,20.9,2011-10-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-10-10,48,6.9,2012-10-10 05:30:00,23.8,2012-10-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-10-10,55,12.9,2013-10-10,35.7,2013-10-10 14:30:00,TRUE,"Hot",0,9,0,9,NA,NA,2013-10-10 13:30:00,2013-10-10 16:30:00
2014-10-10,50,10.2,2014-10-10 04:30:00,23.8,2014-10-10 11:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-10-10,50,13.2,2015-10-10 05:30:00,26.1,2015-10-10 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-10-10,69,13.1,2016-10-10 06:00:00,32.2,2016-10-10 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-10-10,52,15.5,2017-10-10 04:30:00,22,2017-10-10 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-10-10,77,13.8,2018-10-10 23:00:00,18.4,2018-10-10,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-10-10,48,9.9,2019-10-10 06:00:00,18.7,2019-10-10 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-10-10,48,11.6,2020-10-10 05:30:00,25.6,2020-10-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-11-10,65,16.3,2010-11-10 02:00:00,28,2010-11-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-11-10,50,17.9,2011-11-10 23:00:00,28.5,2011-11-10 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-11-10,49,14.1,2012-11-10 23:30:00,19,2012-11-10 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-11-10,72,14.5,2013-11-10 22:00:00,18.5,2013-11-10 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-11-10,48,17.4,2014-11-10 23:00:00,22,2014-11-10 11:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-11-10,48,12,2015-11-10 04:30:00,26.5,2015-11-10 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-11-10,52,14.7,2016-11-10 05:00:00,24.9,2016-11-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-11-10,51,11.2,2017-11-10 03:00:00,22.8,2017-11-10 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-11-10,50,11.6,2018-11-10 04:00:00,21.3,2018-11-10 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-11-10,48,13.7,2019-11-10 03:30:00,23,2019-11-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2020-11-10,48,9.9,2020-11-10 04:00:00,21.6,2020-11-10 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-12-10,50,18.8,2010-12-10 23:30:00,28.9,2010-12-10 14:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-12-10,48,15.5,2011-12-10 04:00:00,23.6,2011-12-10 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-12-10,69,16.2,2012-12-10 03:30:00,20.6,2012-12-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-12-10,48,20.3,2013-12-10 23:30:00,32,2013-12-10 12:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-12-10,61,18.2,2014-12-10 02:30:00,24.5,2014-12-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-12-10,48,19.6,2015-12-10 23:00:00,25.4,2015-12-10 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-12-10,52,13.6,2016-12-10 04:30:00,23.5,2016-12-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-12-10,48,14.7,2017-12-10 04:00:00,24.9,2017-12-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2018-12-10,48,20.6,2018-12-10 23:00:00,26.5,2018-12-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2019-12-10,70,16.7,2019-12-10 04:00:00,36.1,2019-12-10 12:00:00,TRUE,"Hot",0,2,0,2,NA,NA,2019-12-10 12:00:00,2019-12-10 12:00:00
2020-12-10,59,14.6,2020-12-10 04:30:00,26.8,2020-12-10 10:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2010-02-10,52,19.4,2010-02-10 05:30:00,29.8,2010-02-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2011-02-10,48,16.6,2011-02-10 02:30:00,26.9,2011-02-10 14:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2012-02-10,54,19.1,2012-02-10 03:30:00,25.5,2012-02-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2013-02-10,76,19.6,2013-02-10 23:00:00,29.1,2013-02-10 09:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2014-02-10,62,19.1,2014-02-10 00:30:00,24.4,2014-02-10 13:00:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2015-02-10,48,19.8,2015-02-10 01:00:00,27.5,2015-02-10 13:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2016-02-10,48,17.9,2016-02-10 05:30:00,28.2,2016-02-10 12:30:00,FALSE,NA,0,0,0,0,NA,NA,NA,NA
2017-02-10,50,21.3,2017-02-10 05:30:00,42.9,2017-02-10 15:00:00,TRUE,"Hot",0,16,0,16,NA,NA,2017-02-10 11:00:00,2017-02-10 18:00:00
